case_type,venue,domain,year,paper_id,paper_number,forum_url,title,decision,decision_label,has_decision_note,decision_note,n_reviews,n_scored_reviews,scores,confidences,mean_score,median_score,confidence_weighted_mean,accept_threshold,accept_votes,reject_votes,reviewer_majority,has_meta_review,meta_signature,meta_review,public_discussion_count,public_discussion_word_count,public_author_response_count,public_reviewer_followup_count,public_ac_pc_comment_count
ICLR 2026 accept_to_reject,ICLR 2026,ICLR.cc/2026/Conference,2026,mnI8CFj2WP,8646,https://openreview.net/forum?id=mnI8CFj2WP,Unified Cross-Scale 3D Generation and Understanding via Autoregressive Modeling,reject,ICLR.cc/2026/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,4 8 6 10,4 4 4 4,7.0,7.0,7.0,6,3,1,accept,True,ICLR.cc/2026/Conference/Submission8646/Area_Chair_skbm,novelty/positioning; evidence/baselines; unresolved rebuttal; scope/significance; presentation/readability,6,3788,6,0,0
ICLR 2026 accept_to_reject,ICLR 2026,ICLR.cc/2026/Conference,2026,9HeKCYl1zl,12546,https://openreview.net/forum?id=9HeKCYl1zl,Auto-Regressive Surface Cutting,reject,ICLR.cc/2026/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,6 10 4 6,4 5 3 4,6.5,6.0,6.875,6,3,1,accept,True,ICLR.cc/2026/Conference/Submission12546/Area_Chair_wGmq,novelty/positioning; evidence/baselines; unresolved rebuttal; scope/significance; reproducibility/implementation,12,3476,9,1,2
ICLR 2026 accept_to_reject,ICLR 2026,ICLR.cc/2026/Conference,2026,rouPx6eo2G,885,https://openreview.net/forum?id=rouPx6eo2G,One-Step Score-Based Density Ratio Estimation: Solver-Free with Analytic Frames,reject,ICLR.cc/2026/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,5,5,8 6 10 4 6,4 2 3 4 3,6.8,6.0,6.75,6,4,1,accept,True,ICLR.cc/2026/Conference/Submission885/Area_Chair_B1hK,novelty/positioning; evidence/baselines; correctness/theory; scope/significance; presentation/readability,17,6968,13,4,0
ICLR 2026 accept_to_reject,ICLR 2026,ICLR.cc/2026/Conference,2026,05NHmcEpNk,13133,https://openreview.net/forum?id=05NHmcEpNk,Instance-Dependent Continuous-Time Reinforcement Learning via Maximum Likelihood Estimation,reject,ICLR.cc/2026/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,3,3,8 4 8,3 3 3,6.666666666666667,8.0,6.666666666666667,6,2,1,accept,True,ICLR.cc/2026/Conference/Submission13133/Area_Chair_PJA1,novelty/positioning; evidence/baselines; correctness/theory; unresolved rebuttal; reproducibility/implementation,10,4474,9,1,0
ICLR 2026 accept_to_reject,ICLR 2026,ICLR.cc/2026/Conference,2026,TSk3cIdIQK,4845,https://openreview.net/forum?id=TSk3cIdIQK,Large Reasoning Models Learn Better Alignment from Flawed Thinking,reject,ICLR.cc/2026/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,8 8 4 6,3 4 3 3,6.5,7.0,6.615384615384615,6,3,1,accept,True,ICLR.cc/2026/Conference/Submission4845/Area_Chair_syYZ,evidence/baselines; correctness/theory; unresolved rebuttal; scope/significance; presentation/readability,16,5467,13,3,0
ICLR 2026 accept_to_reject,ICLR 2026,ICLR.cc/2026/Conference,2026,HVKB5DM5n7,20224,https://openreview.net/forum?id=HVKB5DM5n7,Approximate Equivariance via Projection-Based Regularisation,reject,ICLR.cc/2026/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,6 8 6 6,4 4 2 4,6.5,6.0,6.571428571428571,6,4,0,accept,True,ICLR.cc/2026/Conference/Submission20224/Area_Chair_VRNf,novelty/positioning; evidence/baselines; unresolved rebuttal,14,5189,11,3,0
ICLR 2026 accept_to_reject,ICLR 2026,ICLR.cc/2026/Conference,2026,NbHuzXQT8U,24599,https://openreview.net/forum?id=NbHuzXQT8U,Inverse Linear Bandits via Linear Programs,reject,ICLR.cc/2026/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,8 8 4 6,3 5 4 2,6.5,7.0,6.571428571428571,6,3,1,accept,True,ICLR.cc/2026/Conference/Submission24599/Area_Chair_ryGx,unresolved rebuttal; scope/significance; presentation/readability,10,3138,6,4,0
ICLR 2026 accept_to_reject,ICLR 2026,ICLR.cc/2026/Conference,2026,cu6xWUNOzQ,16614,https://openreview.net/forum?id=cu6xWUNOzQ,Aligning the Brain with Language Models Through a Nonlinear and Multimodal Approach,reject,ICLR.cc/2026/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,3,3,6 4 10,2 5 4,6.666666666666667,6.0,6.545454545454546,6,2,1,accept,True,ICLR.cc/2026/Conference/Submission16614/Area_Chair_8gSU,novelty/positioning; evidence/baselines; scope/significance,10,4206,10,0,0
ICLR 2026 accept_to_reject,ICLR 2026,ICLR.cc/2026/Conference,2026,ebgsbC4x5W,15925,https://openreview.net/forum?id=ebgsbC4x5W,Online Rubrics Elicitation from Pairwise Comparisons,reject,ICLR.cc/2026/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,6 6 6 8,4 4 3 4,6.5,6.0,6.533333333333333,6,4,0,accept,True,ICLR.cc/2026/Conference/Submission15925/Area_Chair_JJ8D,novelty/positioning; evidence/baselines; scope/significance; presentation/readability; calibration/process,21,3961,21,0,0
ICLR 2026 accept_to_reject,ICLR 2026,ICLR.cc/2026/Conference,2026,YKTJJCNXF4,21593,https://openreview.net/forum?id=YKTJJCNXF4,Transport Clustering: Solving Low-Rank Optimal Transport via Clustering,reject,ICLR.cc/2026/Conference/Rejected_Submission,True,title: Paper Decision | decision: Reject,4,4,6 6 8 6,3 3 3 3,6.5,6.0,6.5,6,4,0,accept,True,ICLR.cc/2026/Conference/Submission21593/Area_Chair_vW6y,unresolved rebuttal; scope/significance; reproducibility/implementation,7,2773,7,0,0
